反応,専攻,性別,対面・遠隔,対面説明時間,遠隔動画時間,演習の分量,データサイエンス,Python言語,形式科学,人文科学,社会科学,自然科学,語学,情報科学,芸術・デザイン,課題の自由度,研究テーマ,大学で学ぶ意義,対話,読書,TV,音楽,ゲーム,Web閲覧,趣味,運動,自然,食事,睡眠
1,情報,女性,4,3,2,3,3,3,2,5,3,3,4,4,5,3,1,3,3,5,1,4,3,1,5,1,1,1,2
2,地域,男性,3,3,4,3,4,4,3,5,4,4,2,4,5,4,2,4,3,2,1,3,1,4,3,1,1,2,3
3,情報,女性,5,2,4,3,4,4,2,5,4,1,1,2,5,1,2,4,5,1,3,2,1,4,1,1,3,2,2
4,情報,女性,2,4,1,3,5,4,4,4,4,3,5,3,5,2,1,5,4,1,3,5,1,4,1,1,2,4,3
5,情報,女性,4,5,3,3,4,5,4,5,4,2,3,5,5,4,3,5,2,5,1,3,2,5,5,1,1,2,5
6,地域,女性,3,3,2,4,4,4,4,3,3,4,4,4,5,1,1,4,3,1,2,5,1,3,1,1,1,2,1
7,情報,女性,5,3,1,3,4,4,1,2,2,2,2,3,5,3,1,3,4,2,5,2,1,3,4,1,2,2,2
8,情報,女性,5,1,1,4,4,4,2,2,4,2,4,4,5,1,4,4,4,1,1,4,4,5,4,1,1,1,3
9,情報,女性,4,2,2,3,4,4,3,3,4,3,4,4,5,5,4,5,3,1,1,1,1,5,3,1,1,2,3
10,情報,女性,5,2,5,3,4,4,4,3,4,3,4,4,5,5,4,5,3,1,1,1,1,5,5,1,1,2,3
11,情報,女性,2,2,2,3,3,3,4,3,3,3,2,4,5,5,1,4,2,1,1,3,2,1,3,1,1,2,2
12,地域,男性,3,2,3,5,2,3,3,3,3,3,3,3,3,3,2,3,3,1,2,2,1,1,2,4,1,1,1
13,情報,女性,4,3,2,5,4,3,1,2,2,2,2,2,4,2,1,4,1,1,2,1,3,2,3,1,1,2,3
14,情報,女性,5,2,2,2,4,4,4,3,2,4,5,5,5,5,1,4,2,1,1,2,1,5,2,1,1,2,3
15,地域,男性,4,3,3,3,4,3,3,4,3,3,4,3,5,1,3,4,3,1,1,4,1,3,4,1,2,1,3
16,情報,女性,5,5,2,3,3,3,2,2,3,2,2,3,5,5,3,5,4,2,1,2,1,3,2,1,1,2,3
17,情報,男性,4,2,2,4,4,4,4,1,2,4,3,4,5,5,2,5,4,1,3,3,4,5,5,1,1,4,4
18,情報,男性,1,1,1,4,3,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19,情報,男性,4,1,1,4,3,3,3,3,3,3,3,3,4,4,3,3,3,1,1,2,1,1,2,1,1,2,2
20,情報,女性,2,2,1,3,4,4,2,5,5,4,5,4,5,2,5,5,4,1,2,2,1,3,3,1,3,3,3
21,情報,男性,4,3,2,3,2,3,2,4,4,4,5,2,5,2,2,4,1,2,1,2,3,1,3,1,1,2,1
22,情報,男性,2,3,2,3,5,5,4,4,4,4,3,5,2,3,2,3,2,1,1,2,4,4,4,1,1,1,2
23,情報,男性,3,2,2,4,3,2,3,3,3,3,5,3,3,3,1,1,1,1,1,4,1,5,1,1,1,1,3
24,情報,女性,4,2,1,3,3,3,1,3,2,1,1,4,5,2,1,4,2,1,1,1,1,2,2,1,2,2,2
25,情報,男性,4,3,3,3,5,3,1,5,2,4,4,5,4,4,2,4,4,3,1,3,5,3,4,2,1,2,3
26,地域,女性,3,2,3,3,4,4,2,5,2,4,3,4,5,2,1,4,5,2,1,1,5,3,3,1,3,1,1
27,情報,男性,3,4,4,4,4,4,3,4,5,2,4,4,4,3,2,4,2,4,3,3,2,4,3,2,1,2,3
28,情報,男性,5,4,3,3,3,3,4,4,3,4,2,3,4,3,2,3,1,2,1,3,4,5,2,1,1,1,5
29,情報,男性,4,2,3,3,3,3,5,2,4,5,2,5,5,1,1,3,1,2,1,1,1,1,1,1,1,1,4
30,情報,女性,4,2,1,3,3,4,2,4,4,3,2,2,4,2,3,2,1,1,1,1,1,5,2,1,1,1,2
31,情報,男性,5,3,3,3,3,3,3,4,4,3,4,4,5,4,3,5,3,3,1,3,1,2,3,3,2,2,3
32,情報,女性,4,3,3,5,4,4,1,4,3,4,1,4,5,2,2,5,2,1,1,3,4,5,3,1,1,2,1
33,情報,男性,2,4,2,3,4,5,2,2,3,2,2,4,5,5,1,5,1,1,2,1,1,2,2,2,1,1,2
34,情報,女性,3,3,5,4,3,3,2,4,2,2,3,3,3,1,3,3,3,4,3,1,1,2,2,1,2,2,2
35,情報,女性,4,3,3,3,4,4,3,2,5,2,4,4,5,4,3,5,1,1,1,2,1,2,2,1,1,2,1
36,地域,女性,5,3,2,3,4,5,4,4,3,2,3,4,5,2,1,4,2,1,1,1,4,2,4,1,1,2,2
37,情報,女性,5,3,1,3,5,5,2,4,4,4,2,2,5,1,4,4,3,1,1,2,1,1,3,1,1,1,2
38,情報,女性,5,2,3,4,2,3,2,4,3,2,5,4,5,2,1,4,3,3,2,4,1,5,4,1,1,2,2