専攻,性別,理解,演習の分量,関心,必要性,Python,形式科学,人文科学,社会科学,自然科学,語学,情報科学,芸術・デザイン,自由度,研究テーマ,対話,読書,TV,音楽,ゲーム,Webの閲覧,趣味,運動,自然,食事,睡眠
情報,女性,5,3,4,4,4,3,3,3,5,3,4,5,5,1,3,1,1,1,2,2,4,1,1,2,4
情報,男性,4,3,2,2,4,3,4,5,5,4,5,5,4,4,2,1,1,2,1,5,4,1,1,3,2
地域,男性,5,2,4,4,5,4,5,2,5,2,5,5,5,4,2,2,1,3,5,5,5,1,1,2,3
地域,女性,2,3,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,4,1,4,4,1,4,1,2
地域,女性,3,3,2,5,3,2,4,3,2,1,3,4,2,1,1,2,1,1,4,4,4,1,1,2,1
情報,女性,4,3,4,3,3,3,4,3,2,4,4,4,4,2,4,1,1,2,2,3,2,1,1,2,3
地域,女性,3,3,3,3,3,2,2,2,2,2,2,4,4,2,2,1,1,4,5,1,5,1,1,2,2
情報,男性,5,4,3,4,3,4,2,4,4,4,4,5,1,5,1,1,1,5,1,5,2,1,1,1,4
情報,女性,3,3,1,3,3,1,2,1,1,5,1,5,4,2,4,1,1,5,4,4,5,2,5,1,3
情報,男性,5,3,3,5,5,3,2,2,4,3,5,1,2,1,2,1,1,1,2,5,2,1,1,2,3
地域,女性,3,4,2,3,2,1,2,1,3,2,1,4,4,2,4,1,1,2,1,2,2,1,1,3,1
情報,女性,4,4,3,3,5,1,5,4,3,5,3,4,3,1,2,1,1,2,2,3,3,1,1,2,2
情報,男性,2,3,3,3,3,2,4,3,2,4,2,4,2,2,3,2,1,5,4,5,3,1,4,1,4
情報,女性,4,4,2,2,4,2,2,2,2,4,2,4,1,1,3,1,1,2,1,4,3,1,1,2,2
情報,女性,4,3,3,3,3,1,2,2,2,2,5,5,5,2,3,1,2,3,4,4,5,1,1,1,2
情報,女性,4,3,5,5,5,4,3,4,2,4,5,5,2,3,1,1,1,1,2,2,2,1,1,1,3
地域,女性,2,3,2,3,4,1,5,3,1,2,1,5,3,3,3,1,1,4,1,3,4,1,1,4,2
情報,女性,4,3,5,5,4,4,4,1,5,3,4,5,5,4,4,3,1,5,3,4,5,1,1,5,2
地域,女性,3,3,4,4,4,4,5,5,5,5,4,5,3,4,5,4,1,3,1,5,4,1,1,1,3
情報,男性,3,3,2,4,4,3,4,4,4,4,4,5,4,2,2,1,1,2,1,3,2,2,2,2,3
情報,女性,4,4,3,4,4,1,2,1,1,2,3,5,2,1,4,1,1,2,1,5,2,1,1,3,1
地域,女性,4,3,2,4,3,1,5,2,2,4,1,5,2,2,4,1,2,2,1,3,2,1,1,3,4
情報,男性,4,3,4,5,5,3,2,2,2,1,4,4,4,2,2,1,1,4,2,3,3,1,1,1,3
地域,女性,4,3,2,4,3,2,3,2,3,4,3,5,4,4,3,1,1,5,1,4,2,1,1,1,1
地域,男性,4,5,3,3,3,2,2,2,2,2,2,5,3,3,3,2,1,5,3,4,5,3,2,3,1
情報,女性,4,4,3,4,5,3,5,2,5,3,4,5,5,2,1,3,1,3,3,2,4,1,1,2,2
情報,女性,3,3,3,3,3,2,3,2,2,3,2,5,3,3,5,1,1,2,1,3,2,1,1,2,2
情報,女性,4,3,4,5,5,3,5,5,5,5,4,5,4,1,1,1,1,1,2,1,2,1,1,1,4
情報,女性,3,4,2,2,4,1,1,1,1,3,4,5,1,1,3,1,3,1,1,2,2,1,1,1,4
情報,女性,2,3,3,4,4,1,5,3,1,3,4,5,3,1,5,1,1,5,4,3,1,1,1,1,4
情報,男性,2,3,4,3,2,2,4,4,2,4,5,5,5,3,5,1,1,2,2,5,4,2,1,3,5
地域,男性,4,4,4,5,5,4,4,5,3,3,4,5,2,3,4,1,2,4,2,2,4,4,2,2,2
情報,男性,5,4,3,3,4,4,4,2,4,4,4,4,5,4,1,2,1,5,1,2,1,1,2,2,4